2012,2013,2014,2015,2018,BEAT,BIAS TYPE,Bias Category (Sheet1),Bias,2017,Placeholder,Incomplete Qtr,Conditional Formatting,2016,Row Total,"""""",Category,Definition,GO Number,Geometry,Incident Date,Mcpp,New Offense Label?,Number of Records,OFFENSE GROUP,PRECINCT,OFFENSE GROUP.,OFFENSE CATEGORY,Reported Offense,Sheet,Specific Bias Type,Table Name,Neighborho,Precinct,St Area Sh,St Length
0,0,0,0,1,UNKNOWN,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-111840,,3/29/2018,UNKNOWN,N,1,Society,UNKNOWN,Society,Harassment,HARASSMENT,2018,Gay/Lesbian,2018,,Unknown,,
0,0,0,0,1,E2,Ethnicity Only,,Arab,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-401948,POLYGON,10/27/2018,CAPITOL HILL,N,1,Society,EAST,Society,Trespass,TRESPASS,2018,Arab,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,G2,Ethnicity Only,,Other Race/Ethnicity/Ancestry,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-338815,POLYGON,9/10/2018,MADRONA/LESCHI,N,1,Society,EAST,Society,Harassment,HARASSMENT,2018,Other Race/Ethnicity/Ancestry,2018,MADRONA/LESCHI,E,41092999.49,39293.29627
0,0,0,0,1,E3,Homeless Only,,Homeless,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-293062,POLYGON,8/7/2018,FIRST HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Homeless,2018,FIRST HILL,E,15541724.16,20459.84967
0,0,0,0,1,C1,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-481622,POLYGON,12/26/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Gay,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,C1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-325675,POLYGON,8/31/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,C2,LGBTQ Only,,Transgender,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-287705,POLYGON,8/3/2018,CENTRAL AREA/SQUIRE PARK,N,1,Person,EAST,Person,Robbery,ROBBERY-STREET-BODYFORCE,2018,Transgender,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,C3,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-384669,POLYGON,10/14/2018,CENTRAL AREA/SQUIRE PARK,N,1,Person,EAST,Person,Assault,ASSLT-AGG-WEAPON,2018,Gay/Lesbian,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,C3,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-235379,POLYGON,6/27/2018,CENTRAL AREA/SQUIRE PARK,N,1,Society,EAST,Society,Trespass,TRESPASS,2018,Gay/Lesbian,2018,CENTRAL AREA/SQUIRE PARK,E,36998283.76,28582.29161
0,0,0,0,1,E1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-31030,POLYGON,1/25/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-AGG-WEAPON,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E1,LGBTQ Only,,Gay,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-477845,POLYGON,12/21/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Gay,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E1,LGBTQ Only,,Transgender,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-341175,POLYGON,9/12/2018,CAPITOL HILL,N,1,Person,EAST,Person,Assault,ASSLT-NONAGG,2018,Transgender,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-245638,POLYGON,7/5/2018,CAPITOL HILL,N,1,Society,EAST,Society,Threats,THREATS-KILL,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
0,0,0,0,1,E1,LGBTQ Only,,Gay/Lesbian,0,0,Complete Quarters,A,0,1,,CRIME WITH BIAS ELEMENTS,,2018-274345,POLYGON,7/25/2018,CAPITOL HILL,N,1,Society,EAST,Society,Order Violation,VIOL-COURT ORDER,2018,Gay/Lesbian,2018,CAPITOL HILL,E,30328037.5,30052.62763
