BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
LGBTQ Only,CRIME WITH BIAS ELEMENTS,,3/29/2018,1,Society,Harassment,HARASSMENT,,Unknown
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/27/2018,1,Society,Trespass,TRESPASS,CAPITOL HILL,E
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/10/2018,1,Society,Harassment,HARASSMENT,MADRONA/LESCHI,E
Homeless Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/7/2018,1,Person,Assault,ASSLT-NONAGG,FIRST HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/26/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/31/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/3/2018,1,Person,Robbery,ROBBERY-STREET-BODYFORCE,CENTRAL AREA/SQUIRE PARK,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/14/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CENTRAL AREA/SQUIRE PARK,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/27/2018,1,Society,Trespass,TRESPASS,CENTRAL AREA/SQUIRE PARK,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/25/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/21/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/12/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/5/2018,1,Society,Threats,THREATS-KILL,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/25/2018,1,Society,Order Violation,VIOL-COURT ORDER,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/20/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/31/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/27/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/19/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/24/2018,1,Society,Disturbance,DISTURBANCE-OTH,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/12/2018,1,Society,Harassment,HARASSMENT,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/20/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/3/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/17/2018,1,Society,Threats,THREATS-WEAPON,CAPITOL HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/22/2018,1,Society,Threats,THREATS-OTHER,FIRST HILL,E
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/5/2018,1,Person,Assault,ASSLT-NONAGG,JUDKINS PARK/NORTH BEACON HILL,E
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,1/13/2018,1,Person,Assault,ASSLT-NONAGG,CENTRAL AREA/SQUIRE PARK,E
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,3/14/2018,1,Society,Harassment,HARASSMENT,JUDKINS PARK/NORTH BEACON HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/27/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/16/2018,1,Person,Robbery,ROBBERY-BUSINESS-BODYFORCE,CENTRAL AREA/SQUIRE PARK,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/17/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/24/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/10/2018,1,Property,Theft,THEFT-BUILDING,CAPITOL HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/3/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CAPITOL HILL,E
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/24/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
